data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_8.csv,8,0.0002685702904180571,0.0,20,1000,22,1000,3,1000,27,1000,58
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_8.csv,8,0.002685702904180571,0.0,19,1000,22,1000,3,1000,20,1000,44
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_8.csv,8,0.02685702904180571,0.0,10,1000,21,1000,3,1000,5,1000,13
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,9,2.1525814294886397e-05,0.0,46,1000,12,1000,5,1000,6,1000,43
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,9,0.00021525814294886397,0.0,41,1000,24,1000,5,1000,29,1000,72
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,9,0.0021525814294886397,0.0,39,1000,16,1000,5,1000,10,1000,24
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,9,0.021525814294886397,0.0,29,1000,25,1000,6,1000,11,1000,19
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,10,2.0397661098217895e-05,0.0,45,1000,13,1000,5,1000,4,1000,41
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,10,0.00020397661098217894,0.0,41,1000,24,1000,5,1000,30,1000,60
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,10,0.0020397661098217894,0.0,39,1000,20,1000,5,1000,9,1000,36
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,10,0.020397661098217893,0.0,27,1000,25,1000,6,1000,8,1000,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_18.csv,11,4.561873203679687e-05,0.0,3,361,25,315,32,211,29,170,42
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_18.csv,11,0.00045618732036796874,0.0,1,161,20,155,20,121,22,90,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_18.csv,11,0.004561873203679687,0.0,1,146,21,156,22,131,19,31,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_18.csv,11,0.04561873203679687,0.0,1,14,7,10,7,8,7,7,6
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,12,2.132172329687125e-05,0.0,48,1000,20,1000,5,1000,4,1000,11
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,12,0.00021321723296871252,0.0,41,1000,26,1000,5,1000,29,1000,83
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,12,0.002132172329687125,0.0,40,1000,22,1000,5,1000,11,1000,39
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,12,0.02132172329687125,0.0,25,1000,18,1000,5,1000,10,1000,14
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_7.csv,13,2.75376323334831e-05,0.0,26,1000,10,1000,3,1000,6,1000,40
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_7.csv,13,0.000275376323334831,0.0,22,1000,22,1000,3,1000,22,1000,53
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_7.csv,13,0.0027537632333483096,0.0,21,1000,23,1000,3,1000,21,1000,31
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_7.csv,13,0.027537632333483098,0.0,13,1000,14,1000,3,1000,4,1000,14
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,14,2.163929654634365e-05,0.0,46,1000,20,1000,5,1000,6,1000,25
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,14,0.0002163929654634365,0.0,41,1000,16,1000,5,1000,24,1000,47
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,14,0.002163929654634365,0.0,41,1000,21,1000,5,1000,4,1000,47
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,14,0.021639296546343653,0.0,30,1000,20,1000,9,1000,10,1000,20
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_9.csv,15,2.8443833875446878e-05,0.0,28,1000,17,1000,3,1000,11,1000,48
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_9.csv,15,0.0002844383387544688,0.0,21,1000,17,1000,3,1000,22,1000,51
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_9.csv,15,0.002844383387544688,0.0,21,1000,19,1000,3,1000,21,1000,41
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_9.csv,15,0.02844383387544688,0.0,15,1000,20,1000,6,1000,9,1000,20
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_16.csv,16,2.7777542118322227e-05,0.0,25,1000,21,1000,3,1000,5,1000,43
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_16.csv,16,0.00027777542118322227,0.0,22,1000,30,1000,3,1000,30,1000,55
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_16.csv,16,0.0027777542118322222,0.0,20,1000,22,1000,3,1000,27,1000,30
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_16.csv,16,0.027777542118322226,0.0,7,1000,18,1000,3,1000,5,1000,11
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_14.csv,17,2.686376175248108e-05,0.0,26,1000,21,1000,3,1000,7,1000,14
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_14.csv,17,0.0002686376175248108,0.0,22,1000,19,1000,3,1000,6,1000,53
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_14.csv,17,0.002686376175248108,0.0,19,1000,17,1000,3,1000,26,1000,32
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_14.csv,17,0.02686376175248108,0.0,9,1000,20,1000,3,1000,6,1000,7
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,18,2.351577901632021e-05,0.0,46,1000,22,1000,5,1000,5,1000,36
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,18,0.00023515779016320207,0.0,40,1000,23,1000,5,1000,30,1000,71
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,18,0.002351577901632021,0.0,37,1000,25,1000,5,1000,12,1000,37
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,18,0.02351577901632021,0.0,24,1000,23,1000,7,1000,8,1000,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_13.csv,19,4.58770715461425e-05,0.0,5,225,30,324,31,359,16,118,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_13.csv,19,0.000458770715461425,0.0,1,228,19,240,19,143,23,58,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_13.csv,19,0.00458770715461425,0.0,1,132,20,216,11,74,16,14,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_13.csv,19,0.045877071546142505,0.0,1,33,13,10,8,13,7,10,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,20,4.556636582056727e-05,0.0,6,135,19,274,17,209,21,65,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,20,0.00045566365820567267,0.0,2,177,20,157,25,86,19,28,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,20,0.004556636582056727,0.0,1,113,19,137,15,97,19,42,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,20,0.04556636582056727,0.0,1,7,5,73,4,83,4,8,4
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_10.csv,21,2.823699052900752e-05,0.0,25,1000,16,1000,3,1000,4,1000,47
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_10.csv,21,0.00028236990529007514,0.0,21,1000,22,1000,3,1000,23,1000,52
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_10.csv,21,0.0028236990529007517,0.0,18,1000,24,1000,3,1000,3,1000,27
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_10.csv,21,0.02823699052900752,0.0,7,1000,18,1000,3,1000,4,1000,10
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,22,2.1539871732857437e-05,0.0,45,1000,21,1000,5,1000,7,1000,55
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,22,0.00021539871732857436,0.0,40,1000,29,1000,5,1000,31,1000,74
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,22,0.0021539871732857434,0.0,42,1000,22,1000,5,1000,4,1000,43
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,22,0.021539871732857437,0.0,24,1000,21,1000,7,1000,7,1000,17
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_2.csv,23,2.7567437127080774e-05,0.0,26,1000,19,1000,3,1000,20,1000,53
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_2.csv,23,0.0002756743712708077,0.0,21,1000,22,1000,3,1000,24,1000,49
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_2.csv,23,0.0027567437127080773,0.0,19,1000,25,1000,3,1000,21,1000,36
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_2.csv,23,0.027567437127080777,0.0,10,1000,19,1000,7,1000,7,1000,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,24,4.5768731306891576e-05,0.0,6,212,24,265,21,142,22,86,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,24,0.00045768731306891576,0.0,1,153,22,136,17,89,15,52,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,24,0.004576873130689158,0.0,1,112,23,116,18,89,20,38,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,24,0.045768731306891575,0.0,2,6,5,69,4,21,4,12,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,25,4.569387621880415e-05,0.0,4,173,22,284,29,189,23,162,45
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,25,0.00045693876218804146,0.0,1,146,20,97,20,153,18,26,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,25,0.004569387621880415,0.0,1,136,22,105,19,134,22,34,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,25,0.04569387621880415,0.0,2,8,5,9,8,8,7,7,6
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,26,2.1225891370732065e-05,0.0,48,1000,13,1000,5,1000,7,1000,15
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,26,0.00021225891370732063,0.0,41,1000,16,1000,5,1000,29,1000,45
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,26,0.0021225891370732063,0.0,41,1000,14,1000,5,1000,7,1000,28
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,26,0.021225891370732067,0.0,25,1000,16,1000,7,1000,9,1000,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_2.csv,27,4.513296026710332e-05,0.0,4,174,20,447,21,98,21,55,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_2.csv,27,0.0004513296026710332,0.0,2,143,22,119,21,123,18,66,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_2.csv,27,0.004513296026710332,0.0,1,121,17,91,16,72,13,18,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_2.csv,27,0.04513296026710332,0.0,1,34,11,143,9,36,8,12,8
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,28,2.2031717259298755e-05,0.0,44,1000,20,1000,5,1000,3,1000,41
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,28,0.00022031717259298752,0.0,40,1000,25,1000,5,1000,32,1000,61
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,28,0.002203171725929875,0.0,38,1000,27,1000,5,1000,9,1000,29
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,28,0.022031717259298755,0.0,25,1000,15,1000,5,1000,6,1000,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_11.csv,29,4.571287872007792e-05,0.0,5,111,19,335,23,134,16,102,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_11.csv,29,0.00045712878720077923,0.0,1,141,23,164,18,89,19,82,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_11.csv,29,0.004571287872007792,0.0,1,122,18,156,14,139,12,29,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_11.csv,29,0.045712878720077926,0.0,1,34,9,45,11,42,11,17,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_17.csv,30,4.544942313041981e-05,0.0,3,111,22,151,23,94,18,87,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_17.csv,30,0.0004544942313041981,0.0,1,133,20,120,19,78,15,26,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_17.csv,30,0.004544942313041981,0.0,2,73,19,80,13,93,19,24,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_17.csv,30,0.04544942313041981,0.0,1,11,8,39,9,27,9,10,7
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_4.csv,31,2.7434131547441877e-05,0.0,24,1000,14,1000,3,1000,6,1000,30
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_4.csv,31,0.00027434131547441877,0.0,21,1000,21,1000,30,1000,30,1000,57
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_4.csv,31,0.0027434131547441876,0.0,21,1000,19,1000,3,1000,23,1000,39
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_4.csv,31,0.027434131547441877,0.0,11,1000,19,1000,3,1000,8,1000,11
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_12.csv,32,2.6567115894622602e-05,0.0,29,1000,14,1000,3,1000,5,1000,38
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_12.csv,32,0.000265671158946226,0.0,22,1000,22,1000,3,1000,20,1000,58
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_12.csv,32,0.0026567115894622602,0.0,21,1000,23,1000,3,1000,6,1000,35
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_12.csv,32,0.0265671158946226,0.0,16,1000,22,1000,4,1000,6,1000,14
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_18.csv,33,2.6193945361560228e-05,0.0,25,1000,21,1000,3,1000,4,1000,50
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_18.csv,33,0.00026193945361560226,0.0,21,1000,24,1000,3,1000,26,1000,61
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_18.csv,33,0.002619394536156023,0.0,20,1000,26,1000,3,1000,22,1000,41
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_18.csv,33,0.02619394536156023,0.0,14,1000,27,1000,6,1000,12,1000,20
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_19.csv,34,2.7822679893955882e-05,0.0,26,1000,15,1000,3,1000,10,1000,12
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_19.csv,34,0.00027822679893955884,0.0,22,1000,15,1000,3,1000,18,1000,59
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_19.csv,34,0.002782267989395588,0.0,19,1000,19,1000,3,1000,24,1000,28
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_19.csv,34,0.027822679893955884,0.0,10,1000,15,1000,3,1000,3,1000,8
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,35,2.1318459739369212e-05,0.0,45,1000,14,1000,5,1000,19,1000,23
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,35,0.0002131845973936921,0.0,42,1000,16,1000,5,1000,4,1000,51
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,35,0.002131845973936921,0.0,41,1000,20,1000,5,1000,8,1000,28
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,35,0.021318459739369213,0.0,26,1000,18,1000,5,1000,11,1000,15
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_5.csv,36,2.8655406996237255e-05,0.0,23,1000,20,1000,3,1000,3,1000,39
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_5.csv,36,0.00028655406996237255,0.0,21,1000,19,1000,3,1000,28,1000,69
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_5.csv,36,0.0028655406996237255,0.0,18,1000,21,1000,3,1000,24,1000,42
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_5.csv,36,0.028655406996237254,0.0,10,1000,22,1000,3,1000,3,1000,11
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,37,2.1362437119134874e-05,0.0,45,1000,24,1000,5,1000,6,1000,34
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,37,0.00021362437119134872,0.0,43,1000,23,1000,5,1000,21,1000,55
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,37,0.0021362437119134873,0.0,39,1000,21,1000,5,1000,16,1000,19
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,37,0.021362437119134874,0.0,25,1000,12,1000,5,1000,7,1000,18
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_15.csv,38,2.7594260568834508e-05,0.0,27,1000,31,1000,3,1000,7,1000,39
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_15.csv,38,0.00027594260568834507,0.0,19,1000,28,1000,3,1000,22,1000,48
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_15.csv,38,0.002759426056883451,0.0,19,1000,30,1000,3,1000,25,1000,42
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_15.csv,38,0.027594260568834506,0.0,12,1000,18,1000,3,1000,6,1000,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,39,4.560297503624965e-05,0.0,7,916,13,405,13,237,14,62,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,39,0.0004560297503624965,0.0,2,157,19,166,23,109,16,42,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,39,0.004560297503624965,0.0,1,113,17,120,18,111,17,48,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,39,0.04560297503624965,0.0,1,20,9,50,13,27,6,21,6
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,40,2.2517773132493242e-05,0.0,48,1000,24,1000,5,1000,7,1000,40
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,40,0.0002251777313249324,0.0,40,1000,21,1000,5,1000,15,1000,55
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,40,0.002251777313249324,0.0,40,1000,21,1000,5,1000,5,1000,35
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,40,0.022517773132493243,0.0,27,1000,18,1000,7,1000,15,1000,21
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_11.csv,41,2.8794490246428403e-05,0.0,25,1000,18,1000,3,1000,8,1000,35
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_11.csv,41,0.000287944902464284,0.0,21,1000,29,1000,3,1000,26,1000,63
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_11.csv,41,0.00287944902464284,0.0,19,1000,26,1000,3,1000,30,1000,27
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_11.csv,41,0.0287944902464284,0.0,10,1000,25,1000,3,1000,3,1000,20
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_1.csv,42,2.8507040617750554e-05,0.0,26,1000,35,1000,3,1000,17,1000,45
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_1.csv,42,0.00028507040617750554,0.0,21,1000,22,1000,3,1000,37,1000,50
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_1.csv,42,0.002850704061775055,0.0,19,1000,26,1000,3,1000,21,1000,33
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_1.csv,42,0.028507040617750553,0.0,11,1000,19,1000,3,1000,4,1000,12
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_3.csv,43,2.7934960360015504e-05,0.0,26,1000,16,1000,3,1000,7,1000,38
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_3.csv,43,0.000279349603600155,0.0,21,1000,25,1000,3,1000,27,1000,52
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_3.csv,43,0.0027934960360015506,0.0,22,1000,13,1000,3,1000,25,1000,36
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_3.csv,43,0.027934960360015505,0.0,12,1000,23,1000,3,1000,6,1000,8
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,44,2.2349645724804663e-05,0.0,47,1000,11,1000,5,1000,8,1000,36
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,44,0.0002234964572480466,0.0,42,1000,19,1000,5,1000,31,1000,63
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,44,0.002234964572480466,0.0,41,1000,17,1000,5,1000,13,1000,34
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,44,0.022349645724804662,0.0,25,1000,21,1000,6,1000,8,1000,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,45,4.566684489920501e-05,0.0,8,179,23,574,12,290,22,110,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,45,0.00045666844899205005,0.0,3,351,20,156,33,176,27,276,42
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,45,0.0045666844899205005,0.0,1,239,20,129,27,101,23,42,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,45,0.04566684489920501,0.0,1,50,17,47,12,27,13,15,9
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,46,2.1664710302832104e-05,0.0,44,1000,26,1000,5,1000,5,1000,34
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,46,0.00021664710302832102,0.0,41,1000,31,1000,5,1000,25,1000,61
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,46,0.00216647103028321,0.0,38,1000,21,1000,5,1000,9,1000,28
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,46,0.021664710302832103,0.0,22,1000,19,1000,5,1000,5,1000,18
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,47,2.153533229516021e-05,0.0,47,1000,19,1000,5,1000,17,1000,35
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,47,0.0002153533229516021,0.0,42,1000,24,1000,5,1000,28,1000,63
